Py,Ace,Anth,Acy,Chry,Benz,Fluora,Fluore,Nap,Phen,x220,x225,x230,x235,x240,x245,x250,x255,x260,x265,x270,x275,x280,x285,x290,x295,x300,x305,x310,x315,x320,x325,x330,x335,x340,x345,x350
0.456,0.12,0.168,0.12,0.336,1.62,0.12,0.6,0.12,0.564,0.771,0.714,0.658,0.537,0.587,0.671,0.768,0.837,0.673,0.678,0.741,0.755,0.682,0.633,0.706,0.29,0.208,0.161,0.135,0.137,0.162,0.13,0.127,0.165,0.11,0.075,0.053
0.456,0.04,0.28,0.2,0.448,2.7,0.12,0.4,0.16,0.752,0.951,0.826,0.737,0.638,0.738,0.911,1.121,1.162,0.869,0.87,0.965,1.05,0.993,0.934,1.008,0.405,0.254,0.185,0.157,0.159,0.18,0.155,0.15,0.178,0.14,0.105,0.077
0.152,0.2,0.28,0.16,0.56,1.62,0.08,0.8,0.16,0.188,0.912,0.847,0.689,0.514,0.504,0.622,0.805,0.892,0.697,0.728,0.79,0.728,0.692,0.639,0.717,0.292,0.224,0.168,0.134,0.123,0.136,0.115,0.095,0.102,0.089,0.068,0.048
0.76,0.2,0.224,0.2,0.336,1.08,0.16,0.8,0.04,0.752,0.688,0.679,0.662,0.558,0.655,0.738,0.838,0.883,0.67,0.656,0.704,0.668,0.562,0.516,0.573,0.295,0.212,0.172,0.138,0.144,0.179,0.13,0.134,0.191,0.107,0.06,0.046
0.76,0.16,0.28,0.12,0.224,2.16,0.16,0.2,0.16,0.564,0.873,0.801,0.732,0.64,0.75,0.82,0.907,0.955,0.692,0.681,0.775,0.866,0.798,0.749,0.827,0.311,0.213,0.17,0.151,0.162,0.201,0.158,0.17,0.239,0.146,0.094,0.067
0.608,0.2,0.168,0.08,0.448,2.16,0.04,0.8,0.12,0.94,0.953,0.85,0.732,0.612,0.724,0.882,1.013,1.087,0.86,0.859,0.925,0.938,0.869,0.81,0.868,0.39,0.241,0.175,0.138,0.141,0.167,0.129,0.135,0.178,0.115,0.078,0.056
0.76,0.12,0.112,0.16,0.448,0.54,0.16,0.6,0.2,0.188,0.613,0.577,0.547,0.448,0.508,0.463,0.473,0.549,0.51,0.56,0.604,0.493,0.369,0.343,0.363,0.215,0.178,0.165,0.136,0.142,0.183,0.122,0.129,0.193,0.089,0.041,0.03
0.456,0.08,0.224,0.16,0.112,2.16,0.12,1,0.04,0.188,0.927,0.866,0.799,0.605,0.618,0.671,0.771,0.842,0.646,0.658,0.716,0.829,0.783,0.731,0.794,0.292,0.22,0.155,0.12,0.123,0.144,0.122,0.127,0.164,0.113,0.078,0.056
0.304,0.16,0.224,0.04,0.448,1.62,0.2,0.2,0.04,0.376,0.585,0.577,0.543,0.45,0.515,0.614,0.734,0.815,0.624,0.642,0.724,0.716,0.68,0.649,0.713,0.298,0.213,0.167,0.136,0.126,0.137,0.109,0.104,0.129,0.098,0.074,0.057
0.608,0.16,0.056,0.16,0.336,2.7,0.04,0.2,0.08,0.188,0.835,0.866,0.803,0.55,0.563,0.577,0.642,0.732,0.675,0.713,0.836,0.938,0.911,0.847,0.91,0.358,0.226,0.173,0.153,0.16,0.186,0.156,0.157,0.193,0.134,0.093,0.066
0.608,0.04,0.224,0.12,0.56,0.54,0.04,0.4,0.04,0.564,0.477,0.454,0.45,0.433,0.538,0.593,0.661,0.724,0.554,0.561,0.616,0.469,0.355,0.322,0.345,0.211,0.154,0.139,0.114,0.118,0.154,0.1,0.1,0.154,0.071,0.03,0.016
0.152,0.16,0.168,0.2,0.112,0.54,0.08,0.2,0.12,0.752,0.496,0.45,0.402,0.331,0.389,0.504,0.613,0.599,0.383,0.344,0.353,0.366,0.338,0.309,0.334,0.194,0.123,0.094,0.076,0.07,0.077,0.065,0.056,0.065,0.053,0.036,0.025
0.608,0.12,0.28,0.04,0.112,1.08,0.04,0.6,0.16,0.376,0.594,0.512,0.441,0.392,0.489,0.562,0.637,0.647,0.415,0.387,0.421,0.461,0.396,0.361,0.424,0.161,0.103,0.076,0.062,0.076,0.11,0.082,0.094,0.144,0.078,0.043,0.028
0.456,0.2,0.056,0.04,0.224,0.54,0.12,0.8,0.08,0.376,0.512,0.478,0.409,0.319,0.375,0.395,0.436,0.487,0.439,0.449,0.474,0.438,0.362,0.331,0.36,0.204,0.158,0.122,0.089,0.087,0.107,0.075,0.079,0.114,0.064,0.04,0.028
0.76,0.04,0.056,0.08,0.112,1.62,0.16,0.4,0.08,0.94,0.662,0.583,0.586,0.564,0.687,0.708,0.748,0.757,0.611,0.581,0.641,0.727,0.638,0.596,0.658,0.277,0.171,0.133,0.113,0.128,0.168,0.125,0.143,0.211,0.114,0.067,0.044
0.152,0.04,0.112,0.04,0.336,2.16,0.08,0.4,0.2,0.376,0.768,0.588,0.501,0.386,0.429,0.539,0.671,0.74,0.607,0.627,0.693,0.772,0.751,0.71,0.781,0.287,0.174,0.116,0.093,0.089,0.095,0.087,0.081,0.087,0.081,0.069,0.047
0.152,0.08,0.056,0.12,0.448,1.08,0.08,1,0.08,0.564,0.635,0.557,0.487,0.377,0.404,0.488,0.597,0.669,0.603,0.625,0.647,0.576,0.515,0.477,0.524,0.26,0.188,0.139,0.105,0.096,0.104,0.084,0.071,0.077,0.061,0.045,0.031
0.304,0.04,0.168,0.16,0.224,1.08,0.2,0.4,0.12,0.188,0.575,0.489,0.432,0.375,0.408,0.449,0.525,0.569,0.442,0.451,0.501,0.519,0.474,0.458,0.5,0.219,0.151,0.119,0.095,0.092,0.107,0.085,0.081,0.106,0.072,0.047,0.032
0.152,0.12,0.224,0.08,0.224,2.7,0.08,0.6,0.04,0.94,0.768,0.713,0.644,0.528,0.599,0.807,1.009,1.035,0.75,0.722,0.79,0.907,0.921,0.866,0.924,0.375,0.219,0.144,0.118,0.116,0.123,0.12,0.114,0.119,0.115,0.096,0.07
0.456,0.16,0.112,0.08,0.56,1.08,0.12,0.2,0.2,0.94,0.811,0.655,0.593,0.496,0.601,0.694,0.81,0.835,0.669,0.671,0.718,0.641,0.566,0.524,0.573,0.29,0.182,0.148,0.123,0.119,0.141,0.103,0.098,0.13,0.08,0.051,0.036
0.608,0.08,0.112,0.2,0.224,1.62,0.04,1,0.2,0.752,0.827,0.714,0.66,0.535,0.601,0.66,0.729,0.775,0.619,0.601,0.64,0.667,0.571,0.525,0.602,0.242,0.16,0.12,0.103,0.122,0.164,0.127,0.133,0.182,0.105,0.059,0.037
0.304,0.08,0.28,0.08,0.336,0.54,0.2,1,0.16,0.94,0.673,0.492,0.427,0.447,0.584,0.751,0.908,0.931,0.656,0.611,0.623,0.552,0.466,0.418,0.443,0.275,0.199,0.146,0.104,0.094,0.106,0.074,0.07,0.095,0.064,0.042,0.03
0.304,0.2,0.112,0.12,0.112,2.7,0.2,0.8,0.2,0.564,0.949,0.852,0.711,0.559,0.586,0.701,0.855,0.907,0.737,0.731,0.801,0.956,0.934,0.881,0.934,0.38,0.239,0.158,0.127,0.125,0.138,0.126,0.124,0.138,0.118,0.093,0.063
0.76,0.08,0.168,0.04,0.56,2.7,0.16,1,0.12,0.376,0.939,0.835,0.723,0.622,0.716,0.791,0.908,1.031,0.894,0.948,1.036,1.079,0.948,0.897,0.983,0.386,0.26,0.189,0.15,0.16,0.199,0.155,0.163,0.219,0.145,0.101,0.07
0.304,0.12,0.056,0.2,0.56,2.16,0.2,0.6,0.08,0.752,1.055,0.989,0.894,0.681,0.663,0.726,0.837,0.914,0.813,0.84,0.916,0.892,0.837,0.785,0.846,0.359,0.237,0.179,0.151,0.15,0.175,0.145,0.128,0.147,0.116,0.086,0.058
0.456,0.12,0.168,0.12,0.336,1.62,0.12,0.6,0.12,0.564,0.687,0.706,0.66,0.476,0.49,0.591,0.723,0.783,0.589,0.611,0.67,0.663,0.646,0.624,0.678,0.28,0.185,0.144,0.127,0.122,0.139,0.12,0.102,0.106,0.097,0.075,0.053
0.456,0.04,0.224,0.16,0.56,2.16,0.12,1,0.04,0.188,0.71,0.644,0.603,0.483,0.552,0.646,0.808,0.885,0.722,0.759,0.821,0.808,0.737,0.698,0.771,0.286,0.199,0.143,0.117,0.127,0.161,0.133,0.13,0.16,0.119,0.087,0.062
