genus,AD.BD,AD.CD,EA.CD,Dx.CD,SH.ACR,EAD,beta,gamma,class,classdigit
54,65.56,166,50.55,12.8,70.3,115,14,45,Hylobates,1
54,50.91,93.9,61.82,13.09,75,121,20,54,Hylobates,1
54,46.15,80.8,64.1,11.8,70,120,25,61,Hylobates,1
54,70.29,220.5,50,12.75,61.1,113,12,45,Hylobates,1
54,63.16,144,57.89,12.98,64.9,115,14,46,Hylobates,1
54,50.72,134.6,56.23,11.88,52.6,136,14,46,Hylobates,1
54,58.99,164,54.96,12.46,58.6,109,11,46,Hylobates,1
54,55.38,144,52.31,11.92,65.3,131,16,50,Hylobates,1
54,64.29,138.5,57.14,12.5,60,115,16,48,Hylobates,1
54,65.67,169.2,50.75,12.46,55.3,117,20,53,Hylobates,1
54,55.91,113,60.22,12.47,64.5,121,16,53,Hylobates,1
54,64.62,134.6,52.31,13.23,75,124,12,40,Hylobates,1
54,62.07,128.6,56.9,12.41,61.5,119,17,50,Hylobates,1
54,59.26,128,51.85,11.39,73.3,125,19,54,Hylobates,1
54,57.94,182.5,60.32,12.54,66,105,11,51,Hylobates,1
54,57.14,147.4,61.22,11.63,64.3,115,11,50,Hylobates,1
56,31.13,30.6,84.91,12.45,48.7,117,32,70,Pongo,2
56,38.32,38.3,68.22,12.62,64.5,138,30,60,Pongo,2
56,33.64,29.5,76.64,13.08,60.5,127,40,76,Pongo,2
56,28.57,30.5,75.89,11.16,51.3,130,33,70,Pongo,2
56,34.78,38.1,80.87,12.7,58,117,31,70,Pongo,2
56,36.04,36.4,81.08,12.16,58,116,33,75,Pongo,2
56,30.38,23.1,82.28,12.91,52.9,129,43,78,Pongo,2
56,32.14,29.4,82.14,12.86,53.7,118,37,75,Pongo,2
56,28.74,28.4,89.66,12.07,65.8,116,35,80,Pongo,2
56,37.8,33.3,85.37,12.56,56.5,117,37,72,Pongo,2
56,36,45,79.2,12.4,63,123,24,63,Pongo,2
56,39.13,36.6,73.91,11.3,69.7,119,37,74,Pongo,2
56,33.68,39,78.95,12.63,52.6,127,30,70,Pongo,2
56,29.47,32.6,84.21,12.95,45.2,120,36,80,Pongo,2
56,26.83,27.2,84.15,12.2,53.3,126,31,73,Pongo,2
57,80,118.9,59.09,12.91,52.1,94,20,51,Pan,3
57,74.49,100,57.14,12.45,53,101,20,50,Pan,3
57,75.79,80,61.05,13.47,50,98,28,56,Pan,3
57,76.36,100,57.27,12.82,50,96,24,53,Pan,3
57,73.68,81.4,63.16,13.68,51.3,100,28,58,Pan,3
57,76.19,103.9,59.05,13.71,60,97,24,56,Pan,3
57,75.29,80,55.29,13.29,57.9,101,26,54,Pan,3
57,62,66,67,13,61.8,104,28,56,Pan,3
57,72.73,100,56.36,13.18,63.5,110,21,52,Pan,3
57,77,81.1,63,13.7,52.3,95,30,60,Pan,3
57,76.53,93.8,58.16,13.47,57.9,100,27,56,Pan,3
57,76.47,97.5,56.86,12.94,51.4,100,22,49,Pan,3
57,76.67,89.6,55.56,13.89,43.2,105,22,50,Pan,3
57,78.35,84.4,61.86,13.92,59,95,25,53,Pan,3
57,70,76.8,63.33,13.67,50.6,107,25,55,Pan,3
57,78,102.6,56,13.2,50,101,24,52,Pan,3
57,77,114.9,54,14,55.9,103,19,47,Pan,3
57,84.55,100,57.27,13.27,62.2,92,24,51,Pan,3
57,69.47,66,57.89,13.9,53.9,108,29,55,Pan,3
57,78.57,77,45.92,13.88,53.8,105,29,52,Pan,3
58,70.59,100,72.94,12.94,57.1,95,27,67,Gorilla,4
58,63.95,79.7,68.02,12.56,56.1,101,33,68,Gorilla,4
58,67.97,72.5,64.84,14.06,66.7,100,30,62,Gorilla,4
58,73.48,95.1,66.67,13.26,77.1,94,25,63,Gorilla,4
58,66.67,84,67.46,12.62,59.3,97,30,66,Gorilla,4
58,57.89,68.1,62.41,12.48,61.1,107,31,65,Gorilla,4
58,74.07,101.7,64.81,13.46,65.1,94,32,67,Gorilla,4
58,71.54,93,69.23,13.08,60.9,95,30,65,Gorilla,4
58,65.93,78.1,54.81,13.48,60.2,105,34,65,Gorilla,4
58,66.9,92.4,60.69,12.62,49,103,25,57,Gorilla,4
58,68,89.5,65.6,12.96,50,103,27,62,Gorilla,4
58,65.68,95.7,72.78,12.84,65.7,96,25,64,Gorilla,4
58,76.5,106.1,62.84,13.28,59.7,96,27,60,Gorilla,4
58,71.75,81.4,63.84,12.66,62.3,96,35,67,Gorilla,4
59,38.54,32.2,76.04,13.02,75.6,112,50,,Homo,5
59,34.88,30.3,76.74,13.37,73.7,119,50,,Homo,5
59,41.67,40.2,78.57,14.05,70.3,115,45,,Homo,5
59,39.02,32,73.17,13.42,77.9,122,54,,Homo,5
59,34.72,30.5,71.97,13.06,57.8,129,45,,Homo,5
59,38.24,32.2,76.47,12.45,65.6,109,54,,Homo,5
59,46.43,42.4,71.43,12.62,75,111,49,,Homo,5
59,40,35.7,93,13.8,77.6,98,48,,Homo,5
59,31.76,29.4,74.12,11.77,73.5,120,50,,Homo,5
59,43.18,40.9,78.41,13.18,54.6,107,45,,Homo,5
59,48.75,50.7,82.5,13.75,61.8,102,38,,Homo,5
59,43.01,43,70.97,13.98,69.2,126,40,,Homo,5
59,46.67,42,75.56,12.78,61.5,106,49,,Homo,5
59,37.5,30.8,82.53,13.86,63.2,106,48,,Homo,5
59,46.88,39.1,78.13,13.75,58.8,107,51,,Homo,5
59,39.22,36.4,70.59,13.43,57.5,120,48,,Homo,5
59,40,48.8,83,12.5,67.7,103,39,,Homo,5
59,42.68,38.9,79.27,13.66,65.7,110,44,,Homo,5
59,44,39.8,76,13.33,65.5,107,47,,Homo,5
59,37.5,33.7,79.55,12.61,66.1,110,46,,Homo,5
59,44.66,41.8,77.67,13.5,55.3,109,45,,Homo,5
59,50,43.3,80,13.33,70.3,94,47,,Homo,5
59,42.27,38.3,88.66,13.3,65.1,97,46,,Homo,5
59,43.62,41,76.6,13.09,65.9,107,49,,Homo,5
59,37.5,33.6,83.33,13.13,61.8,113,47,,Homo,5
59,47.62,45.5,76.19,12.86,68.3,107,46,,Homo,5
59,44.9,42.3,65.31,11.94,78.6,122,44,,Homo,5
59,43.4,39,75.47,12.55,76.7,106,50,,Homo,5
