clothing,accessories,tobacco,writing,books,records,goods,sweets,toys,jewelry,perfume,tools,other
81,66,150,667,67,24,47,430,743,132,32,197,209
138,204,340,1409,259,272,117,637,684,408,57,547,550
304,193,229,527,258,368,98,246,116,298,61,402,454
384,149,151,84,146,141,61,40,13,71,52,138,252
942,297,313,92,251,167,193,30,16,130,111,280,624
359,109,136,36,96,67,75,11,16,31,54,200,195
178,53,121,36,48,29,50,5,6,14,41,152,88
137,68,171,37,56,27,55,17,3,11,50,211,90
45,28,145,17,41,7,29,28,8,10,28,111,34
71,19,59,224,19,7,22,137,113,162,70,15,24
241,98,111,346,60,32,29,240,98,548,178,29,58
477,114,58,91,50,27,41,80,14,303,141,9,72
436,108,76,18,32,12,32,12,10,74,70,14,67
1180,207,132,30,61,21,65,16,12,100,104,30,157
1009,165,121,27,43,9,74,14,31,48,81,36,107
517,102,93,23,31,7,51,10,8,22,46,24,66
488,127,214,27,57,13,79,23,17,26,69,35,64
173,64,215,13,44,0,39,42,6,12,41,11,55
